	id	sentence	sentiment
48	26	"""The hats are to protect us from Covid-19,"" Pouzol said."	1
49	26	PARIS (REUTERS) - An art gallery in Paris has sought inspiration in ancient China to help it enforce social distancing, by providing hats with winged extensions for visitors.	1
50	26	The first Song emperor is said to have ordered his officials to wear winged hats so that they could not gossip without being heard.	1
51	27	The source said Chinese and Indian border troops held a third round of military commander-level talks on Tuesday.	1
52	27	Chinese Foreign Ministry spokesperson Zhao Lijian said at Wednesday's routine press briefing that China and India have made active progress in pushing for effective measures to disengage frontline border troops and ease the situation on the border areas at the third round of military commander-level talks on Tuesday.	1
53	27	The two sides had a frank and in-depth exchange of views, discussed effective ways to resolve current differences in border control, and studied concrete measures to enhance mutual trust and maintain stability.The two sides have agreed to disengage frontline troops in batches and take effective measures to ease the situation in the border areas.	1
54	28	Thousands demonstrated in Berlin against racism and for broader fairness, including sharing the coronavirus burden, as they stretched a human chain through the German capital Sunday while keeping safe distances.Although the German Weather Service (DWD) issued a storm warning for a swathe of the country, people also turned out in other cities like Leipzig and Hamburg after a nationwide appeal from progressive movement Unteilbar (Indivisible).	1
55	28	"""Who bears the costs of the global crisis, who will be stronger afterwards and who weaker -- that's being decided now,"" Unteilbar organisers wrote.A map posted online showed how different groups had been allocated responsibility for different sections of the Berlin human chain.They ranged from political parties like the Greens and Left party to civil society groups like ""Grannies against the far right"" and the Fridays for Future youth climate movement.On their website, Unteilbar organizers urged sticking to ""a responsible form of protest in times of pandemic and crisis"", telling participants to remain three meters apart to minimize the risk of coronavirus transmission.As the human chain got under way, stewards handed out strips of brightly colored tape cut to the right length as a guide."	1
56	28	"""Now we will decide whether we manage to put ourselves on the path to an anti-racist society of social and climate justice,"" tweeted Canan Bayram, Greens party MP for Berlin's lively central Kreuzberg district.The capital's human chain was slated to stretch from the world-famous Brandenburg Gate past the landmark Communist-era TV tower at Alexanderplatz and down into the ethnically diverse Neukoelln district.Organizers had registered 5,000 people to show up, while police said they were prepared for up to 20,000.Over 10,000 people gathered in Berlin under the banner of Black Lives Matter last weekend in response to the May 25 killing of African-American George Floyd in Minneapolis, and the slogan was also in evidence on banners and T-shirts Sunday.But the organizers of the latest demonstration posted a broader set of aims on their website."	1
57	31	Therefore, Meng's alleged conduct is not criminal in either the US or Canada.	0
58	31	If Wednesday's ruling shows that Meng's actions were not a crime in Canada, the Huawei executive could be freed and returned to China.	0
59	31	"""Had Canada the jurisdiction to act against Meng as a criminal, it would have done so."	0
60	32	Also found in the container were 11.9 tonnes of pangolin scales estimated to be worth about US$35.7 million.	1
61	32	It was the third interception by Singapore of smuggled pangolin scales since April and brought the total haul in just three months to 37.5 tonnes worth US$112.5 million.	1
62	32	Singapore has made its largest-ever seizure of smuggled ivory, impounding a haul of nearly 9 tonnes of contraband tusks from an estimated 300 elephants, authorities said yesterday.	1
63	33	The diplomat stressed that attempts to link the extension of the New START Treaty with Russia's tests of supersonic cruise missiles are unfounded.	0
64	33	"""If you really try to understand the essence of the issue, then, first of all, it should be noted that the START Treaty covers rather specific categories of strategic weapons defined in it, namely: intercontinental ballistic missiles [ICBMs], sea-launched ballistic missiles [SLBMs], heavy bombers and launchers of ICBMs and SLBMs."	0
65	33	Reuters reported on Tuesday, citing an anonymous source in the US administration, that the White House believes that Russia's development of hypersonic cruise missiles questions the extension of the START nuclear agreement for another five years.	0
69	36	The United States pins the blame on Iran for the attacks, but Tehran has repeatedly refuted the allegations of its involvement.	1
70	36	In late September, the United States imposed another round of sanctions on Iran, including on the country’s central bank, after the attacks on the Saudi Aramco oil facilities.	1
71	36	The United States has ratcheted up sanctions on Iran since last year as part of its maximum pressure campaign, targeting the pillars of the Iranian economy.	1
72	37	As the country began easing controls, cases surged and it now has the third highest number.	0
73	37	India 1,964,536 cases, 40,699 deaths India brought in a strict nationwide lockdown in March that slowed the spread of the virus but did not bring it under control.	0
74	37	Iran 317,000 cases, 17,800 deaths Iran had one of the first major outbreaks outside China.	0
75	40	Britain’s U.N.	1
76	40	The attack on state-owned producer Saudi Aramco’s crude-processing facilities at Abqaiq and Khurais cut output by 5.7 million barrels per day and threw into question its ability to maintain oil exports.	1
77	40	Ambassador to the United Nations Kelly Craft told the Security Council that emerging information on attacks on the Saudi oil facilities “indicates that responsibility lies with Iran” and that there is no evidence the attack came from Yemen.	1
78	41	"British police said that 39 people found dead in a truck near London are believed to be Chinese nationals, in a case that has triggered national outrage over the people trafficking business.Emergency workers discovered the bodies early Wednesday inside the refrigerated container of a truck parked in an industrial area east of London, shortly after it had arrived on a ferry from Belgium.Police are conducting the country's largest murder probe in more than a decade into what Prime Minister Boris Johnson described as an ""unimaginable tragedy"".The local police force, who have arrested the truck's driver on suspicion of murder, said eight of the dead were women and 31 were men."	0
79	41	"Essex Police said the tractor unit of the truck entered Britain on Sunday on a ferry from Dublin to the Welsh port of Holyhead.They had earlier said they believed the tractor unit originated in Northern Ireland.The vehicle had licence plates issued in Bulgaria after it was registered there in 2017 by an Irish citizen, according to Prime Minister Boyko Borisov.He said the unit had not entered Bulgarian territory since and there was ""no connection with us"".More Chinese migrants?"	0
80	41	In another incident Wednesday, police in Kent in southeast England said they had discovered nine people stowed away inside another truck, after stopping the vehicle on a motorway.	0
81	42	So Boeing -- big, big disappointment to me,” Trump said in an interview on CNBC.” The aviation giant’s newly-installed CEO David Calhoun acknowledged Boeing’s importance to the US economy.The “criticality to the country just speaks for itself,” Calhoun said Wednesday in a call with reporters, his first public remarks and the first interaction with reporters by a Boeing executive since the start of the MAX crisis in March 2019.“Everyone wants Boeing to succeed for the sake of the country and I understand that and I have it on my shoulders.” Oxford Economics last month projected that the MAX production shutdown could slash half a point off the US economy’s annual growth rate in the first quarter of 2020 due to slower investments and exports.And while Boeing has reassigned its own workers during the production halt, one key supplier -- Spirit AeroSystems -- laid off 2,800 employees this month.Things could get worse if the stoppage drags on -- cutting 0.2 percentage points off growth for the full year, according to IHS Markit.	1
82	42	President Donald Trump is counting on a strong US economy to seal his reelection victory but the Boeing crisis and ongoing trade frictions could undermine that strategy.Trump on Wednesday criticized Boeing as a “very disappointing company” because of the aerospace giant’s recent problems after the worldwide grounding of the 737 MAX plane, which is having knock-on effects for the broader economy.He also has lashed out at the Federal Reserve for mishandling monetary policy and keeping borrowing costs too high, which he says is likewise holding back the US economy.Other scapegoats include Europe and China, which he says use trade policies to take advantage of or steal from the United States, and any country with a weak currency against the US dollar.And as the impeachment trial against him proceeds in the Senate, Trump of course has blamed Democrats for a political attack that is distracting from his policy priorities.However, no matter whom he chooses to cast as a culprit, the data show it is the trade wars Trump launched against multiple trading partners that are having the biggest effect, causing investment to screech to a halt amid widespread uncertainty.Still, he is right about the potential damage from the travails at Boeing, which halted production of the top-selling 737 MAX aircraft after it was grounded following a pair of deadly crashes that killed 346 people.Heading into the final months before the presidential elections in November, Trump has repeatedly taken credit for record stock exchange levels and cited his partial trade deal with China as proof of the success of his economic policies.“Nobody has done so much as I’ve done,” Trump said in an interview with Fox Business Network from the economic forum in Davos, Switzerland, where he also floated the possibility of a middle-class tax cut.But economists warn the partial China trade agreement signed this month is a patch that eases only some of the uncertainty about new tariffs and leaves two-thirds of the products exchanged between the economic powers still subject to punitive duties.And while in Davos Trump also renewed his attacks on the European Union, again threatening to strike back with crippling tariffs on imported cars.Continued uncertainty over trade could drag US growth below 2.0 percent, according to many forecasts.Analysts at Oxford Economics warn “conditions aren’t yet in place for an industrial rebound,” noting that consumer spending also softened at the end of 2019.Boeing on Tuesday officially pushed back the time frame for the 737 MAX to return to the skies, until mid-2020, and Trump lamented that Boeing’s woes have “had a tremendous impact” on the economy.“You know when you talk about growth, it’s so big that some people say it’s more than a half a point of GDP.	1
83	43	Was it Russia or Ukraine?	0
84	43	It’s hidden in Ukraine.	0
85	43	Mr. Trump good morning to you.	0
86	44	LONDON – Scotland’s Glasgow University on Friday launched a project to promote awareness of the effects of slavery, the first of its kind by a British university, after finding out it benefitted financially from the historic trade.The “program of restorative justice” will be managed in partnership with the University of the West Indies, and the target money of £20 million ($25 million) will be spent over the next 20 years on establishing the Glasgow-Caribbean Center for Development Research.	1
87	44	/4973089/article_1   The center, to be co-located in Glasgow and the Caribbean, will “stimulate public awareness about the history of slavery,” the university said.The program will “further enhance awareness and understanding of our history and the university’s connections to both historical slavery and the abolitionist movement,” said Anton Muscatelli, principal and vice chancellor of the university.A recent report commissioned by the university found that it played a leading role in the abolitionist movement in the 18th and 19th centuries.But it also found that the institution received “significant financial support,” estimated to be between £16.7 million and £198 million in present-day terms, from people who profited from slavery.Hilary Beckles, vice-chancellor of the University of the West Indies, said he looked forward to “a significant, successful and long-lasting partnership.”Cambridge University earlier this year announced a two-year investigation into its historic links to slavery, looking at bequests from traders and how its academics might have influenced “race-based thinking.”Universities in Britain and the United States have in recent years faced protests by students over their past associations with imperialism and slavery.In 2016, Cambridge’s Jesus College removed from its main hall a bronze cockerel statue stolen with other artefacts from the West African kingdom of Benin in the 19th century.Around the same time, rival Oxford University faced an angry but ultimately unsuccessful campaign to remove a statue of 19th-century British imperialist Cecil Rhodes.	1
88	45	Most economists expect the central bank will keep monetary policy on hold this week.	1
89	45	The US Federal Reserve, Bank of Japan and European Central Bank, which together cover almost half of global output, will all convene meetings of policy makers this week after the pandemic-driven freezing of economies and turmoil in financial markets propelled them into action.	1
90	45	The European Central Bank sets policy on Thursday (April 30) with a heavy weight on its shoulders as governments argue over joint fiscal action.	1
91	48	The 2+2 talks — the second such meeting after last year’s inaugural edition in New Delhi — is also expected to showcase India’s growing defense purchases from the United States.	1
92	48	India has nevertheless come under the microscope in Washington in recent months.	1
93	48	Secretary of State Mike Pompeo and Defense Secretary Mark Esper will hold a day of talks in Washington with their counterparts from India, one of only three countries to enjoy annual so-called “2+2” talks with the United States — a format meant to encourage deep, strategic relations.	1
94	49	The US Commerce Department on Wednesday said it would examine whether hardwood plywood imports completed in Vietnam using Chinese components are circumventing US duties on imports from China in a move that could see Vietnamese imports facing similar duties.In a statement, Commerce said it was initiating the inquiries in response to requests from the Coalition for Fair Trade in Hardwood Plywood, which represents an array of US plywood makers in North Carolina and Oregon.If the probe shows Vietnamese producers were circumventing existing anti-dumping or countervailing duties, Commerce said it would instruct US Customs officials to begin collecting cash deposits on plywood from Vietnam.	1
95	50	"Washington  (CNN)Pete Buttigieg on Sunday had a response to former Vice President Joe Biden's recent comment the former mayor of South Bend Indiana is not Barack Obama: ""Neither is he."	0
96	50	With 100% precincts reporting Buttigieg holds a slim lead over Sanders in the caucuses.	0
97	50	The former vice president first mocked Buttigieg's experience as a small-city mayor in a new digital ad his campaign is using on YouTube and Facebook in New Hampshire ahead of Tuesday's primary.	0
98	51	“The takeover of the American Embassy was in some ways the founding moment for the present regime in Iran” said Mark Bowden author of “Guests of the Ayatollah” an account of the hostage crisis.	1
99	51	Since U.S. sanctions have returned relations have plummeted accelerated by attacks on Saudi oil facilities that the United States blames on Iran.	1
